"state","location","both_sexes_2012"
"Alabama","Winston County",16.9
"Alaska","Wade Hampton Census Area",27.6
"Arizona","Yuma County",22.7
"Arkansas","Yell County",19.2
"California","Yuba County",24
"Colorado","Yuma County",31.9
"Connecticut","Windham County",21.6
"Delaware","Sussex County",20.9
"Florida","Washington County",25
"Georgia","Worth County",18.4
"Hawaii","Kauai County",22.6
"Idaho","Washington County",29.2
"Illinois","Woodford County",32.6
"Indiana","Whitley County",24.6
"Iowa","Wright County",32.3
"Kansas","Wyandotte County",24
"Kentucky","Woodford County",27.3
"Louisiana","Winn Parish",23
"Maine","York County",22.1
"Maryland","Worcester County",24
"Massachusetts","Worcester County",24.1
"Michigan","Wexford County",33.3
"Minnesota","Yellow Medicine County",30.6
"Mississippi","Yazoo County",18.5
"Missouri","Wright County",24.4
"Montana","Yellowstone County",33.2
"Nebraska","York County",35.2
"Nevada","White Pine County",33.8
"New Hampshire","Sullivan County",22.4
"New Jersey","Warren County",22.6
"New Mexico","Valencia County",20.1
"New York","Yates County",23
"North Carolina","Yancey County",20.1
"North Dakota","Williams County",34.2
"Ohio","Wyandot County",27.1
"Oklahoma","Woodward County",18
"Oregon","Yamhill County",23.6
"Pennsylvania","York County",28.1
"Rhode Island","Washington County",23.2
"South Carolina","York County",23.6
"South Dakota","Ziebach County",32.8
"Tennessee","Wilson County",16.3
"Texas","Zavala County",35.5
"Utah","Weber County",18
"Vermont","Windsor County",23.4
"Virginia","York County",25.6
"Washington","Yakima County",21.4
"West Virginia","Wyoming County",16
"Wisconsin","Wood County",36
"Wyoming","Weston County",27.2
